Date,Heure,HDG,Voile
2025-05-12,18:21,235,Spi
2025-05-12,18:31,236,Spi
2025-05-12,18:41,236,Spi
2025-05-12,18:51,236,Spi
2025-05-12,19:01,237,Spi
2025-05-12,19:11,236,Spi
2025-05-12,19:21,235,Spi
2025-05-12,19:31,235,Spi
2025-05-12,19:41,235,Spi
2025-05-12,19:51,233,Spi
2025-05-12,20:01,234,Spi
2025-05-12,20:11,232,Spi
2025-05-12,20:21,233,Spi
2025-05-12,20:31,234,Spi
2025-05-12,20:41,234,Spi
2025-05-12,20:51,234,Spi
2025-05-12,21:01,233,Spi
2025-05-12,21:11,234,Spi
2025-05-12,21:21,235,Spi
2025-05-12,21:31,236,Spi
2025-05-12,21:41,236,Spi
2025-05-12,21:51,238,Spi
2025-05-12,22:01,236,Spi
2025-05-12,22:11,236,Spi
2025-05-12,22:21,236,Spi
2025-05-12,22:31,238,Spi
2025-05-12,22:41,234,Spi
2025-05-12,22:51,233,Spi
2025-05-12,23:01,233,Spi
2025-05-12,23:11,233,Spi
2025-05-12,23:21,233,Spi
2025-05-12,23:31,234,Spi
2025-05-12,23:41,234,Spi
2025-05-12,23:51,234,Spi
2025-05-13,00:01,234,Spi
2025-05-13,00:11,234,Spi
2025-05-13,00:21,236,Spi
2025-05-13,00:31,235,Spi
2025-05-13,00:41,237,Spi
2025-05-13,00:51,236,Spi
2025-05-13,01:01,236,Spi
2025-05-13,01:11,237,Spi
2025-05-13,01:21,237,Spi
2025-05-13,01:31,237,Spi
2025-05-13,01:41,237,Spi
2025-05-13,01:51,237,Spi
2025-05-13,02:01,237,Spi
2025-05-13,02:11,237,Spi
2025-05-13,02:21,237,Spi
2025-05-13,02:31,237,Spi
2025-05-13,02:41,236,Spi
2025-05-13,02:51,237,Spi
2025-05-13,03:01,236,Spi
2025-05-13,03:11,235,Spi
2025-05-13,03:21,236,Spi
2025-05-13,03:31,235,Spi
2025-05-13,03:41,234,Spi
2025-05-13,03:51,235,Spi
2025-05-13,04:01,234,Spi
2025-05-13,04:11,234,Spi
2025-05-13,04:21,234,Spi
2025-05-13,04:31,234,Spi
2025-05-13,04:41,233,Spi
2025-05-13,04:51,233,Spi
2025-05-13,05:01,233,Spi
2025-05-13,05:11,233,Spi
2025-05-13,05:21,233,Spi
2025-05-13,05:31,232,Spi
2025-05-13,05:41,232,Spi
2025-05-13,05:51,232,Spi
2025-05-13,06:01,232,Spi
2025-05-13,06:11,231,Spi
2025-05-13,06:21,298,Spi
2025-05-13,07:21,299,Spi
2025-05-13,08:21,295,Spi
2025-05-13,09:21,294,Spi
2025-05-13,10:21,234,Spi
2025-05-13,11:21,234,Spi
2025-05-13,12:21,234,Spi
2025-05-13,13:21,239,Spi
2025-05-13,14:21,235,Spi
2025-05-13,15:21,299,Spi
2025-05-13,16:21,294,Spi
2025-05-13,17:21,294,Spi
2025-05-13,18:21,297,Spi
2025-05-13,19:21,296,Spi
2025-05-13,20:21,300,Spi
2025-05-13,21:21,235,Spi
2025-05-13,22:21,231,Spi
2025-05-13,23:21,231,Spi
2025-05-14,00:21,292,Spi
2025-05-14,01:21,295,Spi
2025-05-14,02:21,234,Spi
2025-05-14,03:21,234,Spi
2025-05-14,04:21,231,Spi
2025-05-14,05:21,235,Spi
2025-05-14,06:21,235,Spi
2025-05-14,07:21,236,Spi
2025-05-14,08:21,232,Spi
2025-05-14,09:21,236,Spi
2025-05-14,10:21,232,Spi
2025-05-14,11:21,237,Spi
2025-05-14,12:21,237,Spi
2025-05-14,13:21,229,Spi
2025-05-14,14:21,230,Spi
2025-05-14,15:21,226,Spi
2025-05-14,16:21,231,Spi
2025-05-14,17:21,235,Spi
2025-05-14,18:21,236,Spi
2025-05-14,19:21,228,Spi
2025-05-14,20:21,229,Spi
2025-05-14,21:21,301,Spi
2025-05-14,22:21,304,Spi
2025-05-14,23:21,235,Spi
2025-05-15,00:21,244,Spi
2025-05-15,01:21,244,Spi
2025-05-15,02:21,244,Spi
2025-05-15,03:21,248,Spi
2025-05-15,04:21,241,Spi
2025-05-15,05:21,245,Spi
2025-05-15,06:21,245,Spi
2025-05-15,07:21,242,Spi
2025-05-15,08:21,242,Spi
2025-05-15,09:21,243,Spi
2025-05-15,10:21,247,Spi
2025-05-15,11:21,244,Spi
2025-05-15,12:21,244,Spi
2025-05-15,13:21,245,Spi
2025-05-15,14:21,246,Spi
2025-05-15,15:21,242,Spi
2025-05-15,16:21,243,Spi
2025-05-15,17:21,244,Spi
2025-05-15,18:21,246,Spi
2025-05-15,20:21,244,Spi
2025-05-15,22:21,247,Spi
2025-05-16,00:21,247,Spi
2025-05-16,02:21,245,Spi
2025-05-16,04:21,245,Spi
2025-05-16,06:21,308,Spi
2025-05-16,08:21,305,Spi
2025-05-16,10:21,307,Spi
2025-05-16,10:31,302,Spi
2025-05-16,10:41,310,Spi
2025-05-16,10:51,304,Spi
2025-05-16,11:01,307,Spi
2025-05-16,11:11,306,Spi
2025-05-16,11:21,304,Spi
2025-05-16,11:31,307,Spi
2025-05-16,11:41,308,Spi
2025-05-16,11:51,306,Spi
2025-05-16,12:01,307,Spi
2025-05-16,12:11,307,Spi
2025-05-16,12:21,311,Spi
2025-05-16,12:31,309,Spi
2025-05-16,12:41,245,Spi
2025-05-16,12:51,247,Spi
2025-05-16,13:01,245,Spi
2025-05-16,13:11,245,Spi
2025-05-16,13:21,248,Spi
2025-05-16,13:31,244,Spi
2025-05-16,13:41,316,Spi
2025-05-16,13:43,,
