Date,Heure,HDG,Voile
2025-05-12,18:26,189,Jib
2025-05-12,18:36,188,Jib
2025-05-12,18:46,186,Jib
2025-05-12,18:56,185,Jib
2025-05-12,19:06,185,Jib
2025-05-12,19:16,184,Jib
2025-05-12,19:26,182,Jib
2025-05-12,19:36,182,Jib
2025-05-12,19:46,179,Jib
2025-05-12,19:56,179,Jib
2025-05-12,20:06,176,Jib
2025-05-12,20:16,176,Jib
2025-05-12,20:26,175,Jib
2025-05-12,20:36,175,Jib
2025-05-12,20:46,174,Jib
2025-05-12,20:56,173,Jib
2025-05-12,21:06,172,Jib
2025-05-12,21:16,172,Jib
2025-05-12,21:26,171,Jib
2025-05-12,21:36,171,Jib
2025-05-12,21:46,170,Jib
2025-05-12,21:56,170,Jib
2025-05-12,22:06,169,Jib
2025-05-12,22:16,168,Jib
2025-05-12,22:26,167,Jib
2025-05-12,22:36,255,Jib
2025-05-12,22:46,254,Jib
2025-05-12,22:56,252,Jib
2025-05-12,23:06,249,Jib
2025-05-12,23:16,247,Jib
2025-05-12,23:26,245,Jib
2025-05-12,23:36,243,Jib
2025-05-12,23:46,241,Jib
2025-05-12,23:56,239,Jib
2025-05-13,00:06,238,Jib
2025-05-13,00:16,237,Jib
2025-05-13,00:26,236,Jib
2025-05-13,00:36,234,Jib
2025-05-13,00:46,235,Jib
2025-05-13,00:56,234,Jib
2025-05-13,01:06,235,Jib
2025-05-13,01:16,235,Jib
2025-05-13,01:26,235,Jib
2025-05-13,01:36,234,Jib
2025-05-13,01:46,233,Jib
2025-05-13,01:56,232,Jib
2025-05-13,02:06,231,Jib
2025-05-13,02:16,231,Jib
2025-05-13,02:26,232,Jib
2025-05-13,02:36,232,Jib
2025-05-13,02:46,233,Jib
2025-05-13,02:56,233,Jib
2025-05-13,03:06,232,Jib
2025-05-13,03:16,232,Jib
2025-05-13,03:26,231,Jib
2025-05-13,03:36,230,Jib
2025-05-13,03:46,232,Jib
2025-05-13,03:56,234,Jib
2025-05-13,04:06,235,Jib
2025-05-13,04:16,235,Jib
2025-05-13,04:26,235,Jib
2025-05-13,04:36,235,Jib
2025-05-13,04:46,234,Jib
2025-05-13,04:56,234,Jib
2025-05-13,05:06,234,Jib
2025-05-13,05:16,233,Jib
2025-05-13,05:26,233,Jib
2025-05-13,05:36,232,Jib
2025-05-13,05:46,232,Jib
2025-05-13,05:56,231,Jib
2025-05-13,06:06,231,Jib
2025-05-13,06:16,230,Jib
2025-05-13,06:26,228,Jib
2025-05-13,07:26,228,Jib
2025-05-13,08:26,223,Jib
2025-05-13,09:26,227,Jib
2025-05-13,10:26,227,Jib
2025-05-13,11:26,223,Jib
2025-05-13,12:26,222,Jib
2025-05-13,13:26,222,Jib
2025-05-13,14:26,222,Jib
2025-05-13,15:26,222,Jib
2025-05-13,16:26,217,Jib
2025-05-13,17:26,217,Jib
2025-05-13,18:26,217,Jib
2025-05-13,19:26,217,Jib
2025-05-13,20:26,216,Jib
2025-05-13,21:26,220,Jib
2025-05-13,22:26,220,Jib
2025-05-13,23:26,220,Jib
2025-05-14,00:26,219,Jib
2025-05-14,01:26,215,Jib
2025-05-14,02:26,223,Code 0
2025-05-14,03:26,215,Code 0
2025-05-14,04:26,227,Jib
2025-05-14,05:26,151,Jib
2025-05-14,06:26,167,Jib
2025-05-14,07:26,163,Jib
2025-05-14,08:26,163,Jib
2025-05-14,09:26,163,Jib
2025-05-14,10:26,163,Jib
2025-05-14,11:26,163,Jib
2025-05-14,12:26,163,Jib
2025-05-14,13:26,163,Jib
2025-05-14,14:26,167,Jib
2025-05-14,15:26,167,Jib
2025-05-14,16:26,167,Jib
2025-05-14,17:26,167,Jib
2025-05-14,18:26,168,Jib
2025-05-14,19:26,168,Jib
2025-05-14,20:26,168,Jib
2025-05-14,21:26,168,Jib
2025-05-14,22:26,168,Jib
2025-05-14,23:26,164,Jib
2025-05-15,00:26,164,Jib
2025-05-15,01:26,168,Jib
2025-05-15,02:26,160,Jib
2025-05-15,03:26,240,Jib
2025-05-15,04:26,220,Jib
2025-05-15,05:26,224,Code 0
2025-05-15,06:26,224,Code 0
2025-05-15,07:26,219,Code 0
2025-05-15,08:26,215,Code 0
2025-05-15,09:26,219,Code 0
2025-05-15,10:26,211,Code 0
2025-05-15,11:26,218,Code 0
2025-05-15,12:26,222,Code 0
2025-05-15,13:26,214,Spi
2025-05-15,14:26,202,Spi
2025-05-15,15:26,250,Spi
2025-05-15,16:26,237,Code 0
2025-05-15,17:26,217,Jib
2025-05-15,18:26,193,Jib
2025-05-15,20:26,181,Jib
2025-05-15,22:26,181,Jib
2025-05-16,00:26,177,Code 0
2025-05-16,02:26,177,Code 0
2025-05-16,04:26,173,Code 0
2025-05-16,06:26,181,Code 0
2025-05-16,08:26,181,Code 0
2025-05-16,10:26,185,Code 0
2025-05-16,12:26,189,Code 0
2025-05-16,14:26,193,Code 0
2025-05-16,16:26,181,Code 0
2025-05-16,18:26,169,Code 0
2025-05-16,20:26,177,Code 0
2025-05-16,22:26,177,Code 0
2025-05-17,00:26,173,Code 0
2025-05-17,02:26,173,Code 0
2025-05-17,04:26,170,Code 0
2025-05-17,06:26,166,Code 0
2025-05-17,08:26,170,Code 0
2025-05-17,10:26,170,Code 0
2025-05-17,12:26,178,Code 0
2025-05-17,14:26,182,Code 0
2025-05-17,16:26,174,Code 0
2025-05-17,18:26,178,Code 0
2025-05-17,20:26,186,Code 0
2025-05-17,22:26,190,Code 0
2025-05-18,00:26,182,Spi
2025-05-18,02:26,198,Spi
2025-05-18,04:26,206,Spi
2025-05-18,06:26,214,Spi
2025-05-18,08:26,214,Spi
2025-05-18,10:26,222,Spi
2025-05-18,12:26,222,Spi
2025-05-18,14:26,226,Spi
2025-05-18,16:26,149,Spi
2025-05-18,18:26,154,Spi
2025-05-18,20:26,162,Spi
2025-05-18,22:26,166,Spi
2025-05-19,00:26,170,Spi
2025-05-19,02:26,166,Spi
2025-05-19,04:26,162,Spi
2025-05-19,06:26,158,Code 0
2025-05-19,08:26,163,Code 0
2025-05-19,10:26,163,Code 0
2025-05-19,12:26,171,Code 0
2025-05-19,14:26,175,Code 0
2025-05-19,16:26,167,Code 0
2025-05-19,18:26,163,Code 0
2025-05-19,20:26,171,Code 0
2025-05-19,22:26,171,Code 0
2025-05-20,00:26,175,Code 0
2025-05-20,02:26,159,Code 0
2025-05-20,04:26,159,Code 0
2025-05-20,06:26,164,Code 0
2025-05-20,08:26,164,Code 0
2025-05-20,10:26,160,Code 0
2025-05-20,12:26,168,Code 0
2025-05-20,14:26,157,Code 0
2025-05-20,16:26,177,Code 0
2025-05-20,18:26,177,Code 0
2025-05-20,20:26,173,Code 0
2025-05-20,22:26,181,Code 0
2025-05-21,00:26,173,Code 0
2025-05-21,02:26,162,Code 0
2025-05-21,04:26,158,Code 0
2025-05-21,06:26,170,Code 0
2025-05-21,08:26,174,Code 0
2025-05-21,10:26,179,Code 0
2025-05-21,12:26,159,Code 0
2025-05-21,14:26,167,Code 0
2025-05-21,16:26,159,Code 0
2025-05-21,18:26,164,Code 0
2025-05-21,20:26,160,Code 0
2025-05-21,22:26,160,Code 0
2025-05-22,00:26,157,Code 0
2025-05-22,02:26,141,Code 0
2025-05-22,04:26,161,Code 0
2025-05-22,06:26,166,Code 0
2025-05-22,08:26,166,Code 0
2025-05-22,10:26,166,Code 0
2025-05-22,12:26,175,Code 0
2025-05-22,14:26,171,Code 0
2025-05-22,16:26,163,Code 0
2025-05-22,18:26,160,Code 0
2025-05-22,20:26,152,Code 0
2025-05-22,22:26,156,Code 0
2025-05-23,00:26,137,Code 0
2025-05-23,02:26,149,Code 0
2025-05-23,04:26,157,Code 0
2025-05-23,06:26,150,Code 0
2025-05-23,08:26,138,Code 0
2025-05-23,10:26,146,Spi
2025-05-23,12:26,147,Code 0
2025-05-23,14:26,155,Spi
2025-05-23,16:26,163,Code 0
2025-05-23,18:26,168,Code 0
2025-05-23,20:26,164,Code 0
2025-05-23,22:26,180,Code 0
2025-05-24,00:26,184,Code 0
2025-05-24,02:26,168,Code 0
2025-05-24,04:26,172,Code 0
2025-05-24,06:26,176,Code 0
2025-05-24,08:26,188,Code 0
2025-05-24,10:26,181,Code 0
2025-05-24,12:26,185,Code 0
2025-05-24,14:26,197,Code 0
2025-05-24,16:26,193,Code 0
2025-05-24,18:26,189,Code 0
2025-05-24,20:26,189,Code 0
2025-05-24,22:26,193,Code 0
2025-05-25,00:26,189,Code 0
2025-05-25,02:26,190,Code 0
2025-05-25,04:26,194,Code 0
2025-05-25,06:26,194,Code 0
2025-05-25,08:26,194,Code 0
2025-05-25,10:26,198,Code 0
2025-05-25,12:26,199,Code 0
2025-05-25,14:26,195,Code 0
2025-05-25,16:26,195,Code 0
2025-05-25,18:26,195,Code 0
2025-05-25,20:26,203,Code 0
2025-05-25,22:26,203,Code 0
2025-05-26,00:26,200,Code 0
2025-05-26,02:26,200,Code 0
2025-05-26,04:26,208,Code 0
2025-05-26,06:26,208,Code 0
2025-05-26,08:26,204,Code 0
2025-05-26,10:26,200,Code 0
2025-05-26,12:26,193,Code 0
2025-05-26,14:26,197,Code 0
2025-05-26,16:26,201,Code 0
2025-05-26,18:26,206,Code 0
2025-05-26,20:26,206,Code 0
2025-05-26,22:26,202,Code 0
