Date,Heure,HDG,Voile
2025-05-12,18:23,209,Code 0
2025-05-12,18:33,208,Code 0
2025-05-12,18:43,208,Code 0
2025-05-12,18:53,207,Code 0
2025-05-12,19:03,206,Code 0
2025-05-12,19:13,205,Code 0
2025-05-12,19:23,205,Code 0
2025-05-12,19:33,205,Code 0
2025-05-12,19:43,205,Code 0
2025-05-12,19:53,206,Code 0
2025-05-12,20:03,205,Code 0
2025-05-12,20:13,206,Code 0
2025-05-12,20:23,206,Code 0
2025-05-12,20:33,207,Code 0
2025-05-12,20:43,205,Code 0
2025-05-12,20:53,207,Code 0
2025-05-12,21:03,206,Code 0
2025-05-12,21:13,205,Code 0
2025-05-12,21:23,204,Code 0
2025-05-12,21:33,203,Code 0
2025-05-12,21:43,199,Code 0
2025-05-12,21:53,201,Code 0
2025-05-12,22:03,198,Code 0
2025-05-12,22:13,196,Code 0
2025-05-12,22:23,196,Code 0
2025-05-12,22:33,195,Code 0
2025-05-12,22:43,196,Code 0
2025-05-12,22:53,197,Code 0
2025-05-12,23:03,199,Code 0
2025-05-12,23:13,195,Code 0
2025-05-12,23:23,196,Code 0
2025-05-12,23:33,198,Code 0
2025-05-12,23:43,197,Code 0
2025-05-12,23:53,196,Code 0
2025-05-13,00:03,196,Code 0
2025-05-13,00:13,200,Code 0
2025-05-13,00:23,199,Code 0
2025-05-13,00:33,199,Code 0
2025-05-13,00:43,200,Code 0
2025-05-13,00:53,200,Code 0
2025-05-13,01:03,200,Code 0
2025-05-13,01:13,200,Code 0
2025-05-13,01:23,201,Code 0
2025-05-13,01:33,201,Code 0
2025-05-13,01:43,201,Code 0
2025-05-13,01:53,201,Code 0
2025-05-13,02:03,202,Code 0
2025-05-13,02:13,202,Code 0
2025-05-13,02:23,202,Code 0
2025-05-13,02:33,203,Code 0
2025-05-13,02:43,203,Code 0
2025-05-13,02:53,203,Code 0
2025-05-13,03:03,207,Code 0
2025-05-13,03:13,207,Code 0
2025-05-13,03:23,212,Code 0
2025-05-13,03:33,213,Code 0
2025-05-13,03:43,210,Code 0
2025-05-13,03:53,210,Code 0
2025-05-13,04:03,205,Code 0
2025-05-13,04:13,210,Code 0
2025-05-13,04:23,211,Code 0
2025-05-13,04:33,213,Code 0
2025-05-13,04:43,204,Code 0
2025-05-13,04:53,201,Code 0
2025-05-13,05:03,200,Code 0
2025-05-13,05:13,200,Code 0
2025-05-13,05:23,199,Code 0
2025-05-13,05:33,199,Code 0
2025-05-13,05:43,197,Code 0
2025-05-13,05:53,198,Code 0
2025-05-13,06:03,197,Code 0
2025-05-13,06:13,196,Code 0
2025-05-13,06:23,197,Code 0
2025-05-13,07:23,194,Code 0
2025-05-13,08:23,201,Code 0
2025-05-13,09:23,201,Code 0
2025-05-13,10:23,209,Code 0
2025-05-13,11:23,212,Code 0
2025-05-13,12:23,216,Code 0
2025-05-13,13:23,211,Code 0
2025-05-13,14:23,211,Code 0
2025-05-13,15:23,211,Code 0
2025-05-13,16:23,206,Code 0
2025-05-13,17:23,206,Code 0
2025-05-13,18:23,201,Code 0
2025-05-13,19:23,197,Code 0
2025-05-13,20:23,196,Code 0
2025-05-13,21:23,200,Code 0
2025-05-13,22:23,204,Code 0
2025-05-13,23:23,203,Code 0
2025-05-14,00:23,203,Code 0
2025-05-14,01:23,202,Code 0
2025-05-14,02:23,198,Code 0
2025-05-14,03:23,201,Code 0
2025-05-14,04:23,200,Code 0
2025-05-14,05:23,196,Code 0
2025-05-14,06:23,195,Code 0
2025-05-14,07:23,191,Code 0
2025-05-14,08:23,186,Code 0
2025-05-14,09:23,186,Code 0
2025-05-14,10:23,190,Code 0
2025-05-14,11:23,186,Code 0
2025-05-14,12:23,193,Code 0
2025-05-14,13:23,193,Code 0
2025-05-14,14:23,192,Code 0
2025-05-14,15:23,192,Code 0
2025-05-14,16:23,187,Code 0
2025-05-14,17:23,179,Code 0
2025-05-14,18:23,182,Code 0
2025-05-14,19:23,174,Code 0
2025-05-14,20:23,170,Code 0
2025-05-14,21:23,166,Code 0
2025-05-14,22:23,161,Code 0
2025-05-14,23:23,153,Code 0
2025-05-15,00:23,133,Code 0
2025-05-15,01:23,137,Code 0
2025-05-15,02:23,133,Spi
2025-05-15,03:23,121,Spi
2025-05-15,04:23,114,Spi
2025-05-15,05:23,210,Spi
2025-05-15,06:23,202,Spi
2025-05-15,07:23,201,Spi
2025-05-15,08:23,201,Spi
2025-05-15,09:23,192,Spi
2025-05-15,10:23,187,Spi
2025-05-15,11:23,179,Spi
2025-05-15,12:23,182,Spi
2025-05-15,13:23,185,Spi
2025-05-15,14:23,185,Spi
2025-05-15,15:23,188,Spi
2025-05-15,16:23,191,Spi
2025-05-15,17:23,194,Spi
2025-05-15,18:23,192,Spi
2025-05-15,20:23,118,Spi
2025-05-15,22:23,114,Spi
2025-05-16,00:23,116,Spi
2025-05-16,02:23,125,Spi
2025-05-16,04:23,134,Code 0
2025-05-16,06:23,150,Code 0
2025-05-16,08:23,149,Code 0
2025-05-16,10:23,151,Code 0
2025-05-16,12:23,141,Code 0
2025-05-16,14:23,140,Code 0
2025-05-16,16:23,139,Code 0
2025-05-16,18:23,138,Code 0
2025-05-16,20:23,134,Code 0
2025-05-16,20:33,142,Code 0
2025-05-16,20:43,145,Code 0
2025-05-16,20:53,141,Code 0
2025-05-16,21:03,141,Code 0
2025-05-16,21:13,141,Code 0
2025-05-16,21:23,140,Code 0
2025-05-16,21:33,132,Code 0
2025-05-16,21:43,140,Code 0
2025-05-16,21:53,128,Code 0
2025-05-16,22:03,124,Code 0
2025-05-16,22:13,129,Code 0
2025-05-16,22:23,137,Code 0
2025-05-16,22:33,129,Code 0
2025-05-16,22:43,137,Code 0
2025-05-16,22:53,137,Code 0
2025-05-16,23:03,141,Code 0
2025-05-16,23:13,137,Code 0
2025-05-16,23:23,141,Code 0
2025-05-16,23:33,141,Code 0
2025-05-16,23:43,136,Code 0
2025-05-16,23:53,140,Code 0
2025-05-17,00:03,144,Code 0
2025-05-17,00:13,135,Code 0
2025-05-17,00:23,135,Code 0
2025-05-17,00:33,139,Code 0
2025-05-17,00:43,138,Code 0
2025-05-17,00:53,134,Code 0
2025-05-17,01:03,137,Code 0
2025-05-17,01:13,137,Code 0
2025-05-17,01:23,132,Code 0
2025-05-17,01:33,135,Code 0
2025-05-17,01:43,130,Code 0
2025-05-17,01:53,130,Code 0
2025-05-17,02:03,129,Code 0
2025-05-17,02:08,,
